41.03	0.98
40.81	0.73
40.69	0.84
40.61	0.61
39.72	-0.19
39.41	-0.33
39.08	-0.20
38.78	0.19
38.33	-0.48
37.73	-0.83
37.61	-0.75
37.38	-1.63
36.74	-2.14
36.83	-2.37
36.69	-2.74
36.71	-4.40
36.51	-4.66
36.43	-5.12
36.02	-5.60
36.20	-6.04
36.98	-6.53
37.20	-7.06
37.17	-7.40
37.53	-7.51
38.21	-6.93
38.19	-7.11
38.46	-7.31
39.02	-6.97
39.66	-7.54
39.69	-7.02
39.98	-6.88
40.16	-7.01
40.36	-6.80
41.03	-6.93
41.60	-6.22
41.68	-6.52
41.94	-6.58
41.82	-8.17
42.15	-8.20
41.87	-8.86
42.65	-8.74
42.59	-9.02
42.95	-9.20
43.14	-9.12
43.38	-8.33
43.63	-8.12
